red,orange,yellow,green,blue,white,brown,cyan,gray,pink,darkslategray,no match,initial_price,curr_price,days_since_release,skin_type
1,0,0,0,5,2765,740,29,17978,8312,22922,0,1.49,2.99,815,Large Wood Box
1,0,0,0,3,3,886,17,10392,213,38564,0,1.49,2.8,815,Wooden Door
0,0,0,0,5,167,212,14,7114,958,11082,0,1.99,1.64,570,Stone Hatchet
1,0,0,0,12,259,0,29,11578,2477,8977,0,1.99,2.77,893,LR-300
0,0,0,0,5,449,335,14,8286,1624,9430,0,1.88,1.77,1075,Stone Hatchet
0,1,0,10,6,301,1734,9,7065,1031,10531,0,1.99,2.01,577,Bone Club
1,189,0,0,10,0,2373,39,2803,37,15391,0,1.99,3.34,1047,Custom SMG
2,0,0,0,2,785,8,13,5876,989,17256,0,1.51,5.6,1204,Riot Helmet
2,351,0,0,3,1063,5392,30,12156,4429,27503,0,2.99,26.53,591,Large Wood Box
1,0,0,0,5,13577,0,28,21591,14517,5669,0,1.49,2.27,479,Large Wood Box
0,37,0,0,5,5353,3996,31,27891,15085,4198,0,2.49,0.88,1634,Leather Gloves
1,0,0,0,7,685,2815,30,10565,4377,12074,0,1.99,2.66,598,Hammer
1,0,0,0,5,196,53,23,9476,1461,7885,0,4.99,2.38,746,Assault Rifle
7,0,0,2,5,177,3500,14,14384,273,38854,0,3.14,1.89,1033,Sheet Metal Door
3,1,0,0,6,2491,5557,14,17944,3498,28136,0,5.53,7.95,1201,Vending Machine
1,0,0,2506,6,1123,16,41,11625,7085,27804,0,1.44,1.24,1285,Road Sign Kilt
844,146,1291,60,13,3194,6009,158,6119,6956,15705,0,2.59,1.32,1287,Road Sign Jacket
3,0,0,0,5,1963,41,33,53303,10682,4628,0,1.45,3.42,1145,Burlap Shoes
5,0,0,2,4,126,32,15,5002,366,47404,0,1.49,1.66,396,Sheet Metal Door
1,0,0,0,3,769,628,14,39582,6630,18478,0,3.36,10.35,795,Sleeping Bag
1,0,0,1,8,1370,242,26,31852,5480,32324,0,0.99,7.27,683,Boots
0,0,0,0,2,344,31,28,31885,2327,15119,0,2.99,17.45,767,Hoodie
2,0,0,0,8,71,373,21,29736,1080,9157,0,0.99,2.41,683,Pants
0,0,0,0,5,88,296,21,3449,377,12901,0,1.99,1.73,396,Combat Knife
1,0,0,0,4,635,3,17,11508,1648,32101,0,4.49,1.21,1219,Metal Facemask
0,0,0,0,7,161,133,15,3009,630,7535,0,2.99,3.45,458,Double Barrel Shotgun
0,0,0,0,2,0,37,16,274,4,2501,0,1.21,3.7,1152,Burlap Headwrap
1,0,0,0,2,374,1,22,6692,740,38839,0,1.36,1.94,935,Metal Facemask
0,0,0,0,5,365,323,31,13444,1628,33920,0,1.9,4.5,1165,Leather Gloves
6,0,0,2,5,167,439,14,3507,323,42634,0,1.49,2.98,850,Sheet Metal Door
0,11,0,0,2,44,2983,21,3154,372,21033,0,1.49,3.19,823,Furnace
3,115,0,0,1,142,4215,11,11546,978,53979,0,1.49,6.15,690,Garage Door
0,0,0,1,9,1438,120,24,8340,2195,5808,0,1.99,1.55,563,Salvaged Sword
0,0,0,0,7,224,2630,30,12064,1955,12181,0,1.99,3.06,1096,Hammer
1,0,0,2,3,540,13936,16,5101,488,25724,0,1.4,1.74,157,Sheet Metal Door
1,155,157,0,5,797,228,16,6025,3281,3266,0,1.99,1.69,451,Assault Rifle
39,5596,299,0,10,467,933,29,7140,2155,6928,0,1.99,3.05,564,LR-300
1,25,0,0,11,660,1150,29,7063,2675,10609,0,1.99,1.52,963,LR-300
0,1417,0,0,4,2006,3330,23,16079,3109,28430,0,0.99,1.79,710,Riot Helmet
4,0,0,0,2,237,0,22,7555,1743,47706,0,1.99,4.96,1076,Armored Door
0,0,0,0,10,0,0,16,0,0,85,0,16.86,3.8,1243,Improvised Balaclava
0,0,0,0,3,0,170,17,3413,30,34442,0,0.99,2.19,661,Bandana Mask
0,0,0,1,9,602,656,14,23782,9403,19597,0,0.99,3.04,661,Boonie Hat
0,0,0,0,6,1,3,14,13083,149,24397,0,0.99,5.24,660,Burlap Trousers
1,0,0,0,4,1,9,13,14637,440,34092,0,0.99,2.88,661,Burlap Shirt
